Country,Region,Population,Area (sq. mi.),Pop. Density (per sq. mi.),Infant mortality (per 1000 births),GDP ($ per capita),Literacy (%)
Lebanon,NEAR EAST,3874050,10400,3725.0,24.52,4800.0,87.4
Lesotho,SUB-SAHARAN AFRICA,2022331,30355,666.0,84.23,3000.0,84.8
Liberia,SUB-SAHARAN AFRICA,3042004,111370,273.0,128.87,1000.0,57.5
Libya,NORTHERN AFRICA,5900754,1759540,34.0,2.46,6400.0,82.6
Liechtenstein,WESTERN EUROPE,33987,160,2124.0,0.47,25000.0,100.0
Lithuania,BALTICS,3585906,65200,550.0,6.89,11400.0,99.6
Luxembourg,WESTERN EUROPE,474413,2586,1835.0,4.81,55100.0,100.0
Macau,ASIA (EX. NEAR EAST),453125,28,161830.0,4.39,19400.0,94.5
Macedonia,EASTERN EUROPE,2050554,25333,809.0,10.09,6700.0,
Madagascar,SUB-SAHARAN AFRICA,18595469,587040,317.0,76.83,800.0,68.9
Malawi,SUB-SAHARAN AFRICA,13013926,118480,1098.0,103.32,600.0,62.7
Malaysia,ASIA (EX. NEAR EAST),24385858,329750,740.0,1.77,9000.0,88.7
Maldives,ASIA (EX. NEAR EAST),359008,300,11967.0,56.52,3900.0,97.2
Mali,SUB-SAHARAN AFRICA,11716829,1240000,95.0,116.79,900.0,46.4
Malta,WESTERN EUROPE,400214,316,12665.0,3.89,17700.0,92.8
Marshall Islands,OCEANIA,60422,11854,51.0,29.45,1600.0,93.7
Martinique,LATIN AMER. & CARIB,436131,1100,3965.0,7.09,14400.0,97.7
Mauritania,SUB-SAHARAN AFRICA,3177388,1030700,31.0,70.89,1800.0,41.7
Mauritius,SUB-SAHARAN AFRICA,1240827,2040,6083.0,15.03,11400.0,85.6
Mayotte,SUB-SAHARAN AFRICA,201234,374,5381.0,6.24,2600.0,
Mexico,LATIN AMER. & CARIB,107449525,1972550,545.0,20.91,9000.0,92.2
"Micronesia, Fed. St.",OCEANIA,108004,702,1539.0,30.21,2000.0,89.0
Moldova,C.W. OF IND. STATES,4466706,33843,1320.0,40.42,1800.0,99.1
Monaco,WESTERN EUROPE,32543,2,162715.0,5.43,27000.0,99.0
Mongolia,ASIA (EX. NEAR EAST),2832224,1564116,18.0,53.79,1800.0,97.8
Montserrat,LATIN AMER. & CARIB,9439,102,925.0,7.35,3400.0,97.0
Morocco,NORTHERN AFRICA,33241259,446550,744.0,41.62,4000.0,51.7
Mozambique,SUB-SAHARAN AFRICA,19686505,801590,246.0,130.79,1200.0,47.8
Namibia,SUB-SAHARAN AFRICA,2044147,825418,25.0,48.98,7200.0,84.0
Nauru,OCEANIA,13287,21,6327.0,9.95,5000.0,
Nepal,ASIA (EX. NEAR EAST),28287147,147181,1922.0,66.98,1400.0,45.2
Netherlands,WESTERN EUROPE,16491461,41526,3971.0,5.04,28600.0,99.0
Netherlands Antilles,LATIN AMER. & CARIB,221736,960,2310.0,10.03,11400.0,96.7
New Caledonia,OCEANIA,219246,19060,115.0,7.72,15000.0,91.0
New Zealand,OCEANIA,4076140,268680,152.0,5.85,21600.0,99.0
Nicaragua,LATIN AMER. & CARIB,5570129,129494,430.0,29.11,2300.0,67.5
Niger,SUB-SAHARAN AFRICA,12525094,1267000,99.0,121.69,800.0,17.6
Nigeria,SUB-SAHARAN AFRICA,131859731,923768,1427.0,9.88,900.0,68.0
N. Mariana Islands,OCEANIA,82459,477,1729.0,7.11,12500.0,97.0
Norway,WESTERN EUROPE,4610820,323802,142.0,0.37,37800.0,100.0
Oman,NEAR EAST,3102229,212460,146.0,19.51,13100.0,75.8
Pakistan,ASIA (EX. NEAR EAST),165803560,803940,2062.0,72.44,2100.0,45.7
Palau,OCEANIA,20579,458,449.0,14.84,9000.0,92.0
Panama,LATIN AMER. & CARIB,3191319,78200,408.0,20.47,6300.0,92.6
Papua New Guinea,OCEANIA,5670544,462840,123.0,51.45,2200.0,64.6
Paraguay,LATIN AMER. & CARIB,6506464,406750,160.0,25.63,4700.0,94.0
Peru,LATIN AMER. & CARIB,28302603,1285220,220.0,31.94,5100.0,90.9
Philippines,ASIA (EX. NEAR EAST),89468677,300000,2982.0,23.51,4600.0,92.6
Poland,EASTERN EUROPE,38536869,312685,1233.0,8.51,11100.0,99.8
Portugal,WESTERN EUROPE,10605870,92391,1148.0,5.05,18000.0,93.3
Puerto Rico,LATIN AMER. & CARIB,3927188,13790,2848.0,8.24,16800.0,94.1
Qatar,NEAR EAST,885359,11437,774.0,18.61,21500.0,82.5
Reunion,SUB-SAHARAN AFRICA,787584,2517,3129.0,7.78,5800.0,88.9
Romania,EASTERN EUROPE,22303552,237500,939.0,26.43,7000.0,98.4
Russia,C.W. OF IND. STATES,142893540,17075200,84.0,15.39,8900.0,99.6
Rwanda,SUB-SAHARAN AFRICA,8648248,26338,3284.0,91.23,1300.0,70.4
Saint Helena,SUB-SAHARAN AFRICA,7502,413,182.0,0.19,2500.0,97.0
Saint Kitts & Nevis,LATIN AMER. & CARIB,39129,261,1499.0,14.49,8800.0,97.0
Saint Lucia,LATIN AMER. & CARIB,168458,616,2735.0,13.53,5400.0,67.0
St Pierre & Miquelon,NORTHERN AMERICA,7026,242,290.0,7.54,6900.0,99.0
Saint Vincent and the Grenadines,LATIN AMER. & CARIB,117848,389,3030.0,14.78,2900.0,96.0
Samoa,OCEANIA,176908,2944,601.0,27.71,5600.0,99.7
San Marino,WESTERN EUROPE,29251,61,4795.0,5.73,34600.0,96.0
Sao Tome & Principe,SUB-SAHARAN AFRICA,193413,1001,1932.0,43.11,1200.0,79.3
Saudi Arabia,NEAR EAST,27019731,1960582,138.0,13.24,11800.0,78.8
Senegal,SUB-SAHARAN AFRICA,11987121,196190,611.0,55.51,1600.0,40.2
Serbia,EASTERN EUROPE,9396411,88361,1063.0,12.89,2200.0,93.0
Seychelles,SUB-SAHARAN AFRICA,81541,455,1792.0,15.53,7800.0,58.0
Sierra Leone,SUB-SAHARAN AFRICA,6005250,71740,837.0,143.64,500.0,31.4
Singapore,ASIA (EX. NEAR EAST),4492150,693,64822.0,2.29,23700.0,92.5
Slovakia,EASTERN EUROPE,5439448,48845,1114.0,7.41,13300.0,
Slovenia,EASTERN EUROPE,2010347,20273,992.0,4.45,19000.0,99.7
Solomon Islands,OCEANIA,552438,28450,194.0,21.29,1700.0,
Somalia,SUB-SAHARAN AFRICA,8863338,637657,139.0,11.67,500.0,37.8
South Africa,SUB-SAHARAN AFRICA,44187637,1219912,362.0,61.81,10700.0,86.4
Spain,WESTERN EUROPE,40397842,504782,800.0,4.42,22000.0,97.9
Sri Lanka,ASIA (EX. NEAR EAST),20222240,65610,3082.0,14.35,3700.0,92.3
Sudan,SUB-SAHARAN AFRICA,41236378,2505810,165.0,6.25,1900.0,61.1
Suriname,LATIN AMER. & CARIB,439117,163270,27.0,23.57,4000.0,93.0
Swaziland,SUB-SAHARAN AFRICA,1136334,17363,655.0,69.27,4900.0,81.6
Sweden,WESTERN EUROPE,9016596,449964,200.0,2.77,26800.0,99.0
Switzerland,WESTERN EUROPE,7523934,41290,1822.0,4.39,32700.0,99.0
Syria,NEAR EAST,18881361,185180,1020.0,29.53,3300.0,76.9
Taiwan,ASIA (EX. NEAR EAST),23036087,35980,6403.0,0.64,23400.0,96.1
Tajikistan,C.W. OF IND. STATES,7320815,143100,512.0,110.76,1000.0,99.4
Tanzania,SUB-SAHARAN AFRICA,37445392,945087,396.0,98.54,600.0,78.2
Thailand,ASIA (EX. NEAR EAST),64631595,514000,1257.0,20.48,7400.0,92.6
Togo,SUB-SAHARAN AFRICA,5548702,56785,977.0,66.61,1500.0,60.9
Tonga,OCEANIA,114689,748,1533.0,12.62,2200.0,98.5
Trinidad & Tobago,LATIN AMER. & CARIB,1065842,5128,2079.0,24.31,9500.0,98.6
Tunisia,NORTHERN AFRICA,10175014,163610,622.0,24.77,6900.0,74.2
Turkey,NEAR EAST,70413958,780580,902.0,41.04,6700.0,86.5
Turkmenistan,C.W. OF IND. STATES,5042920,488100,103.0,73.08,5800.0,98.0
Turks & Caicos Is,LATIN AMER. & CARIB,21152,430,492.0,15.67,9600.0,98.0
Tuvalu,OCEANIA,11810,26,4542.0,20.03,1100.0,
Uganda,SUB-SAHARAN AFRICA,28195754,236040,1195.0,67.83,1400.0,69.9
Ukraine,C.W. OF IND. STATES,46710816,603700,774.0,20.34,5400.0,99.7
United Arab Emirates,NEAR EAST,2602713,82880,314.0,14.51,23200.0,77.9
United Kingdom,WESTERN EUROPE,60609153,244820,2476.0,5.16,27700.0,99.0
United States,NORTHERN AMERICA,298444215,9631420,310.0,0.65,37800.0,97.0
Uruguay,LATIN AMER. & CARIB,3431932,176220,195.0,11.95,12800.0,98.0
Uzbekistan,C.W. OF IND. STATES,27307134,447400,610.0,7.11,1700.0,99.3
Vanuatu,OCEANIA,208869,12200,171.0,55.16,2900.0,53.0
Venezuela,LATIN AMER. & CARIB,25730435,912050,282.0,2.22,4800.0,93.4
Vietnam,ASIA (EX. NEAR EAST),84402966,329560,2561.0,25.95,2500.0,90.3
Virgin Islands,LATIN AMER. & CARIB,108605,1910,569.0,8.03,17200.0,
Wallis and Futuna,OCEANIA,16025,274,585.0,,3700.0,50.0
West Bank,NEAR EAST,2460492,5860,4199.0,19.62,800.0,
Western Sahara,NORTHERN AFRICA,273008,266000,10.0,,,
Yemen,NEAR EAST,21456188,527970,406.0,6.15,800.0,50.2
Zambia,SUB-SAHARAN AFRICA,11502010,752614,153.0,88.29,800.0,80.6
Zimbabwe,SUB-SAHARAN AFRICA,12236805,390580,313.0,67.69,1900.0,90.7
