full_name,rating,jersey,team,position,b_day,height,weight,salary,country,draft_year,draft_round,college
Furkan Korkmaz,73,#30,Philadelphia 76ers,F,06/27/97,6-7 / 2.01,185 lbs. / 83.9 kg.,$1620564,Turkey,2016,1,
Ian Mahinmi,73,#28,Washington Wizards,C,11/05/86,6-11 / 2.11,230 lbs. / 104.3 kg.,$15450051,France,2005,1,
CJ Miles,73,#0,,G-F,03/18/87,6-6 / 1.98,232 lbs. / 105.2 kg.,$8730158,USA,2005,2,
Mike Muscala,73,#33,Oklahoma City Thunder,F-C,07/01/91,6-10 / 2.08,230 lbs. / 104.3 kg.,$2028594,USA,2013,2,Bucknell
Frank Ntilikina,73,#11,New York Knicks,G,07/28/98,6-4 / 1.93,190 lbs. / 86.2 kg.,$4855800,France,2017,1,
David Nwaba,73,#0,Houston Rockets,G,01/14/93,6-5 / 1.96,210 lbs. / 95.3 kg.,$2581965,USA,2016,Undrafted,Cal Poly
Royce O'Neale,73,#23,Utah Jazz,F,06/05/93,6-4 / 1.93,226 lbs. / 102.5 kg.,$1618520,USA,2015,Undrafted,Baylor
Semi Ojeleye,73,#37,Boston Celtics,F,12/05/94,6-6 / 1.98,235 lbs. / 106.6 kg.,$1618520,USA,2017,2,SMU
Josh Okogie,73,#20,Minnesota Timberwolves,G,09/01/98,6-4 / 1.93,213 lbs. / 96.6 kg.,$2530680,Nigeria,2018,1,Georgia Tech
Jonathon Simmons,73,#0,,G-F,09/14/89,6-6 / 1.98,195 lbs. / 88.5 kg.,$1000000,USA,2012,Undrafted,Houston
Ishmael Smith,73,#14,Washington Wizards,G,07/05/88,6-0 / 1.83,175 lbs. / 79.4 kg.,$6000000,USA,2010,Undrafted,Wake Forest
Tony Snell,73,#17,Detroit Pistons,F,11/10/91,6-6 / 1.98,198 lbs. / 89.8 kg.,$11392857,USA,2013,1,New Mexico
Omari Spellman,73,#0,Minnesota Timberwolves,F,07/21/97,6-8 / 2.03,245 lbs. / 111.1 kg.,$1897800,USA,2018,1,Villanova
Garrett Temple,73,#17,Brooklyn Nets,G-F,05/08/86,6-5 / 1.96,195 lbs. / 88.5 kg.,$4767000,USA,2009,Undrafted,LSU
